Location                    Item                                                      Kind    Prod  Doc  Cog
────────────────────────────────────────────────────────────────────────────────────────────────────────────
src/acp/convert.rs:26       prompt_text                                               fn        20    2    4
src/acp/convert.rs:47       user_message_chunk                                        fn         3    0    0
src/acp/convert.rs:51       agent_message_chunk                                       fn         3    0    0
src/acp/convert.rs:55       agent_thought_chunk                                       fn         3    0    0
src/acp/convert.rs:59       text_chunk                                                fn         3    0    0
src/acp/convert.rs:67       usage_update                                              fn        36    4    1
src/acp/convert.rs:105      pending_tool_call                                         fn        11    1    0
src/acp/convert.rs:118      tool_kind                                                 fn         9    1    1
src/acp/convert.rs:128      in_progress_tool_call_update                              fn         6    0    0
src/acp/convert.rs:135      shell_permission_request                                  fn        38    4    2
src/acp/convert.rs:178      finished_tool_call_update                                 fn         9    0    0
src/acp/convert.rs:190      hook_run_id                                               fn         3    2    0
src/acp/convert.rs:195      pending_hook_run                                          fn        10    1    0
src/acp/convert.rs:207      finished_hook_run_update                                  fn        16    1    1
src/acp/convert.rs:224      replayed_hook_run                                         fn         9    0    0
src/acp/convert.rs:236      replay_transcript                                         fn        36    2    9
src/acp/convert.rs:273      replayed_tool_call                                        fn        13    0    0
src/acp/convert.rs:287      raw_input                                                 fn         3    0    0
src/acp/convert.rs:291      raw_output                                                fn         3    0    0
src/acp/convert.rs:295      output_content                                            fn         3    0    0
src/acp/convert.rs:299      text_content                                              fn         3    0    0
src/acp/convert.rs:303      status                                                    fn         6    0    1
src/acp/operations.rs:16    Operation                                                 enum       5    0    0
src/acp/operations.rs:23    SessionOperations                                         struct     2    0    0
src/acp/operations.rs:26    OperationsState                                           struct     5    0    0
src/acp/operations.rs:32    OperationGuard                                            struct     4    1    0
src/acp/operations.rs:37    impl SessionOperations                                    impl      59    4    9
src/acp/operations.rs:38      try_prompt                                              fn         8    0    0
src/acp/operations.rs:47      try_load                                                fn         3    0    0
src/acp/operations.rs:51      try_delete                                              fn         3    0    0
src/acp/operations.rs:57      cancel                                                  fn         9    2    3
src/acp/operations.rs:69      shutdown                                                fn        19    2    4
src/acp/operations.rs:89      acquire                                                 fn        12    0    1
src/acp/operations.rs:102     lock                                                    fn         3    0    1
src/acp/operations.rs:107   impl Drop for OperationGuard                              impl      11    0    2
src/acp/operations.rs:108     drop                                                    fn         9    0    2
src/acp/prompt.rs:32        MAX_HOOK_CONTINUATIONS                                    const      1    2    0
src/acp/prompt.rs:35        NO_FEEDBACK                                               const      1    1    0
src/acp/prompt.rs:39        PermissionTransport                                       enum       4    2    0
src/acp/prompt.rs:44        PromptInput                                               struct     7    3    0
src/acp/prompt.rs:57        PromptOutput                                              struct     5    3    0
src/acp/prompt.rs:64        run                                                       fn        36    0    2
src/acp/prompt.rs:102       PromptOutcome                                             enum      11    1    0
src/acp/prompt.rs:114       impl fmt::Display for PromptOutcome                       impl      15    0    1
src/acp/prompt.rs:115         fmt                                                     fn        13    0    1
src/acp/prompt.rs:130       PromptRun                                                 struct    17    4    0
src/acp/prompt.rs:153       UncommittedAssistantBatch                                 struct     4    2    0
src/acp/prompt.rs:159       impl UncommittedAssistantBatch                            impl      20    0    1
src/acp/prompt.rs:160         new                                                     fn         6    0    1
src/acp/prompt.rs:167         append_remaining_results                                fn         8    0    0
src/acp/prompt.rs:176         complete                                                fn         4    0    0
src/acp/prompt.rs:182       tool_result                                               fn         7    0    0
src/acp/prompt.rs:190       impl<F: FnMut(SessionUpdate) -> Result<()>> PromptRun<F>  impl     688   29  126
src/acp/prompt.rs:191         open                                                    fn        45    0    1
src/acp/prompt.rs:240         save_turn_start                                         fn        58    3   11
src/acp/prompt.rs:300         start                                                   fn        24    1    2
src/acp/prompt.rs:325         run_model_loop                                          fn        64    0   34
src/acp/prompt.rs:390         sources_for                                             fn         7    0    0
src/acp/prompt.rs:401         run_hook                                                fn        30    3    3
src/acp/prompt.rs:432         hook_context                                            fn        22    0    1
src/acp/prompt.rs:455         hook_invocation                                         fn        11    0    1
src/acp/prompt.rs:469         run_before_tool                                         fn        32    2    4
src/acp/prompt.rs:503         run_after_tools                                         fn        27    1    3
src/acp/prompt.rs:535         run_after_run                                           fn        46    5    8
src/acp/prompt.rs:583         save_optional_feedback                                  fn        12    0    1
src/acp/prompt.rs:596         save_stop_feedback                                      fn        22    0    2
